Dons,Src,Conditions,Avantages
À terre à cheval*,AG,"Capacité de classe bond du lancier, 5 rangs en Acrobaties, 11 rangs en Équitation",Le personnage remonte en selle par une action rapide s'il réussit un test d'Acrobaties
Abondance de révélations,AM,Capacité de classe mystère,Utiliser une unique révélation plus de fois par jour.
Absorption rageuse,MCA,"Capacité à lancer des sorts de sanguin de 2e niveau, capacité de classe rage sanguine",Le personnage absorbe l'énergie magique des sorts agressifs pour alimenter sa rage sanguine
Acolyte de la Nature,CCMI,Suivant de la voie de la nature,Les sorts sont plus efficaces sur les plantes
Acrobate des corniches,MR,"Dex 13, nain, trait racial montagnard ou stabilité",Déplacement plus rapide sur les espaces restreints
Acrobate rusé*,MCA,"Esquive, Souplesse du serpent, 5 rangs en Acrobaties",Le personnage gagne un bonus aux jets d'attaque au corps à corps quand il utilise Acrobaties pour éviter des attaques d'opportunité
Action féroce,MR,"Trait racial férocité, orque",Empêche d'être chancelant avec des points de vie négatifs aux prix de les perdre plus vite
Activation mystérieuse,RSE,12 rangs en Utilisation d'objets magiques,Augmente le NLS de l'objet utilisé en dépassant le test d'UOM
Adaptation aquatique,CM,Pouvoir retenir son souffle,Respire aussi bien l'eau que l'air
Adepte de la discipline,AO,Capacité de classe discipline psychique,Le personnage gagne un bonus de +1 aux tests de niveau de lanceur de sorts et de concentration quand il lance un sort issu de sa discipline psychique . Il gagne aussi un bonus d’intuition de +1 aux jets de sauvegarde contre les sorts de sa discipline.
Adepte de la matraque*,AG,Attaque sournoise +1d6,Bonus de dégâts aux attaques non létales
Adepte du chakra,AO,"Initié du chakra, capacité à éveiller le chakra du cœur","Gain de 3 points de ki de feu-serpent pour les chakras, possibilité de faire un jet de sauvegarde pour maintenir les chakras, bénéfices persistants"
Adepte du filet*,AG,"Maniement d'une arme exotique (filet), BBA +1",Considère le filet comme une arme à une main
Adepte psychique,AO,"Int 11, Sensibilité psychique",Lance une astuce psychique 3/jour comme un pouvoir magique
Adroit et rapide,MR,"Trait racial pieds rapides, halfelin",Le personnage gagne un bonus racial de +2 en Acrobaties et en Escalade .
Adversaire familier*,DTT,Aucun niveau dans une classe dotée d'ennemis jurés,Gagne un ennemi juré
Affinité nécromantique,CCMI,Con 15,Le personnage résiste aux effets de nécromancie et guérit comme un mort-vivant
Agent de la peur,UI,"Persuasion, capacité de classe apparition effrayante",Peut cibler une créature plusieurs fois avec les apparitions
Agilité dimensionnelle,AG,Capacité de classe pas chassé ou capacité à lancer porte dimensionnelle,Peut faire toutes les actions qui lui restent après le pas chassé ou la porte dimensionnelle
Agilité manipulatoire,UI,"1 rang en Bluff, 1 rang en Escamotage",Utilise l'Escamotage pour bluffer avec le langage corporel
Agitation du sang,MR,"Capacité de classe canalisation d'énergie, orque",Confère un bonus aux jets de dégâts et de confirmation critique des orques au lieu de les affecter normalement avec une canalisation d'énergie
Agression de l'ombre,MMI,"École renforcée (illusion), NLS 5",Les chimères du personnage parviennent à blesser ses adversaires
Aide étrange,MCA,NLS 1,Permet de dépenser un sort préparé ou un emplacement de sort pour augmenter de 2 le NLS d'un sort lancé par un allié
Aide rapide*,MJRA,"Int 13, Expertise du combat, BBA +6",Tenter d'aider quelqu'un par une action rapide
Ailes d'ange,MR,"Sang angélique, aasimar, personnage de niveau 10",Gain d'une paire d'ailes et d'une vitesse de vol
Ailes de tengu,MR,"Personnage de niveau 5, tengu",Fait pousser des ailes 1 fois par jour
Ailes de vent,MR,"Pas aérien, personnage de niveau 9, sylphe","Bonus aux jets de sauvegarde contre les effets d'air et d'électricité, gain d'une vitesse de vol surnaturelle"
Ailes fiélonnes,BD,Extérieur non-natif de sous-type Mal,Gain d'une vitesse de vol
Ailes métalliques,MR,"Sang angélique, Chair angélique, Ailes d'ange, aasimar, personnage de niveau 11",Transforme les ailes en métal pour obtenir deux attaques d'ailes
Ailes rallongées,MR,"For 13, Talent (Vol), strix, trait racial ailes tailladées","Augmente la vitesse de vol raciale, ignore le test d'ailes tailladées pour prendre de la hauteur"
Aisance,MJ,Dex 13,"Ignore 1,5 m de terrain difficile lors d'un déplacement"
Ajustement crânien,OO,Doigts de fée ou Trépanation,Ajuste manuellement le crâne d'une personne pour l'hypnotiser
Alchimie inspirée,MCA,"Capacité à créer des extraits de niveau 2, capacités de classe alchimie et inspiration",Le personnage consacre du temps et de l'inspiration à recréer un extrait consommé
Alchimie maudite,MR,"Capacité de classe alchimie rapide, trait racial porte-poisse halfelin",Empêche les créatures maudites de bénéficier des effets des potions et des objets alchimiques
Allié naturel spontané,MCA,"5 rangs en Connaissances (nature), capacité à lancer des sorts de soins ou de blessure spontanément, domaine de la Flore ou de la Faune",Le personnage perd un emplacement de sort pour lancer spontanément un sort de convocation d'allié naturel de même niveau
Âme animale,MCA,Capacité de classe compagnon animal ou monture,Le personnage peut ignorer les sorts qui n'affectent pas les animaux
Âme commune,AO,Capacité de classe partage de conscience,"Le fantôme offre une protection contre les effets de mort, l'énergie négative et la possession"
Âme d'acier,MJRA,"Nain, trait racial robuste",Bonus racial de +4 aux jets de sauvegarde contre les sorts et les pouvoirs magiques
Amélioration des créatures convoquées,MJ,École renforcée (Invocation),Les créatures invoquées gagnent +4 en For et Con
Ami des fées,ISG,Suivant d'un Aîné,"Les fées voient le personnage comme l'un des leurs, et les sorts et autres capacités des fées le traitent comme une fée ou comme son véritable type, selon le type le plus avantageux pour le personnage. Le personnage obtient un bonus de +2 aux tests de Bluff , de Diplomatie et de Psychologie contre les fées."
Amplification brûlante,MTT,—,Les cibles des sorts de feu peuvent prendre feu
Amplification foudroyante,MTT,—,Les cibles des sorts d'électricité peuvent être fatiguées
Amplification refroidissante,MTT,—,Les cibles des sorts de froid peuvent être ralenties
Amplification supplémentaire,AO,Capacité de classe amplification phrénique,Une amplification phrénique supplémentaire
Ancre douloureuse,AM,Capacité de classe aura d'ancrage,Inflige des dégâts aux Extérieurs Mauvais ancrés
Animal totémique,MCA,"Sag 13, capacité de classe compagnon animal",Le compagnon animal du personnage obtient les avantages d'un aspect animal du chasseur
Antagoniste,AM,—,Utilise la Diplomatie ou l'Intimidation pour exaspérer une créature
Aplatissement*,D&M,"Charge impitoyable, Science de la bousculade, suivant de Rovagug",Croc-en-jambe par une action libre après une bousculade réussie dépassant le DMD de la cible de 5 ou plus
