etiquette_brute,occurrences,groupe_propose,exemples_ids
resistance_magie_applicable,15,resistance_a_la_magie,action-interdite ame-parasite annihilation-de-mort-vivant cercle-de-teleportation contact-corrosif
effet_mental,11,effet_mental,action-interdite bafouiller bredouillement coup-mental-v hallucination-audiovisuelle
duree_prolongee,8,duree_prolongee,communication-securisee-supreme convocation-d-allies-naturels-viii coupe-de-poussiere creation-de-paysage-mental-supreme eternuement-de-feu
duree_limitee,7,hors_groupe:duree_limitee,coeur-du-metal fatigue hebetement-de-groupe hurlement-primitif marteau-arboricole
enchantement_coercition,7,charme_ou_coercition,action-interdite bafouiller bredouillement heroisme-insipide-supreme insinuation-du-ca-iv
jet_sauvegarde_volonte,7,jet_de_sauvegarde,annihilation-de-mort-vivant blessure-critique-de-groupe convocation-d-ombres-supreme coup-mental-iii coup-mental-v
portee_courte,5,hors_groupe:courte_portee,communication-securisee-supreme coup-mental-iii coup-mental-v mot-de-pouvoir-etourdissant thaumaturgie-associative
attaque_contact,4,attaque_de_contact,caresse-vaseuse contact-corrosif fatigue marteau-arboricole
attaque_contact_distance,4,attaque_de_contact,destruction-de-mort-vivant fleche-de-loi rafale-du-belier rayon-polaire
degats_froid,4,degats_directs,froide-frappe-de-glace glace-maudite rayon-de-givre rayon-polaire
duree_courte,4,hors_groupe:courte_portee,broussaille-distrayante deja-vu hebetement lumieres-dansantes
effet_instantane,4,duree_instantanee,coup-mental-iii destruction-de-mort-vivant guerison-de-destrier purification
effet_temporaire,4,hors_groupe:temporaire,boule-de-goudron briser-les-lignes-ennemies fouet-d-ego-v zone-de-verite
enchantement_mental,4,effet_mental,deja-vu fouet-d-ego-v hebetement hebetement-de-groupe
jet_sauvegarde_vigueur,4,jet_de_sauvegarde,cacophonie coupe-de-poussiere destruction rayon-affaiblissant
zone_de_controle,4,zone_d_effet,croissance-d-epines enchevetrement-repugnant glace-maudite zone-de-flammes-instables
zone_effet_rayon,4,zone_d_effet|rayon_ou_projectile,cacophonie enchevetrement symbole-de-fou-rire symbole-de-terreur
abjuration,3,hors_groupe:abjuration,communication-securisee-supreme resistance resistance-aux-energies-destructives-partage
action_immédiate,3,hors_groupe:action_immediate,thaumaturgie-associative tour-de-volonte-de-fer-iii tour-de-volonte-de-fer-v
action_simple_requise,3,hors_groupe:action_simple,eternuement-de-feu hebetement-de-groupe paix-forcee
cible_unique,3,hors_groupe:unique,coup-mental-iii destruction-de-mort-vivant pilier-de-vie
degats_zone,3,degats_directs|zone_d_effet,boule-de-feu explosion-de-lumiere salut-du-sang
durée_temporaire,3,hors_groupe:temporaire,image-de-foudre infestation-fongique son-imaginaire
dégâts_instantanés,3,degats_directs|duree_instantanee,blessure-critique-de-groupe cacophonie contact-corrosif
illusion_auditive,3,illusion_visuelle_ou_sonore,alteration-d-instrument-de-musique silence-respectueux son-imaginaire
jet_sauvegarde_reflexes,3,jet_de_sauvegarde,boule-de-feu detonation froide-frappe-de-glace
permanence_possible,3,duree_prolongee,cercle-de-teleportation creation-de-paysage-mental-supreme symbole-de-fou-rire
resistance_possible,3,hors_groupe:resistance,fouet-d-ego-v localite-egaree synesthesie-de-groupe
resistance_volonte,3,hors_groupe:resistance_volonte,hallucination-audiovisuelle protection-contre-le-bien-partage silence-respectueux
sauvegarde_volonte,3,jet_de_sauvegarde,hebetement symbole-de-terreur zone-de-verite
abjuration_émanation,2,zone_d_effet,tour-de-volonte-de-fer-iii tour-de-volonte-de-fer-v
affaiblissement_constitution,2,affaiblissement_de_capacite,caresse-vaseuse empoisonnement
affaiblissement_temporaire,2,affaiblissement_de_capacite,coup-mental-v eveiller-les-devores
amelioration_caracteristiques,2,amelioration_de_capacite,atavisme-de-groupe forme-vegetale-iii
amélioration_temporaire,2,amelioration_de_capacite,flammes-du-fidele reflexes-accrus
attaque_a_distance,2,hors_groupe:attaque_distance,boule-de-goudron rayon-de-givre
bonus_attaque_degats,2,degats_directs|bonus_chiffre,epee-impie pierre-magique
bonus_jets_sauvegarde_sorts,2,bonus_chiffre|jet_de_sauvegarde,protection-contre-les-sorts resistance
bonus_manoeuvre_offensive,2,bonus_chiffre,briser-les-lignes-ennemies contrariete-des-geants
composantes_materielles_requises,2,objet_ou_equipement,baton-a-sort rememoration
concentration_requise,2,hors_groupe:concentration,appel-d-un-esprit demarche-decalibree
confusion_ennemi,2,confusion_ou_desorientation,eveiller-les-devores interdiction-du-fou
contact_multiple,2,attaque_de_contact|plusieurs_cibles,protection-contre-le-bien-partage resistance-aux-energies-destructives-partage
controle_a_distance,2,hors_groupe:controle_distance,image-psychique lumieres-dansantes
cécité_temporaire,2,hors_groupe:temporaire,embourbement plaie-au-visage
degats_par_round,2,degats_directs,caresse-vaseuse resonance
dissipation_possible,2,dissipation_ou_contresort,coupe-de-poussiere dissipation-supreme
dommages_morts_vivants,2,degats_directs,malediction-de-l-eau pilier-de-vie
duree_variable,2,hors_groupe:duree_variable,pulsation-synaptique-supreme resonance
dégâts_mentaux,2,degats_directs,coup-mental-iii coup-mental-v
enchantement_arme,2,arme_ou_munition,epee-impie flammes-du-fidele
energie_negative,2,hors_groupe:energie_negative,fatigue malediction-de-l-eau
etourdissement,2,confusion_ou_desorientation,motif-scintillant violent-nuage-d-orage-supreme
illusion_ombre,2,illusion_visuelle_ou_sonore,convocation-d-ombres-supreme traversee-des-ombres
immobilisation_partielle,2,entrave_ou_immobilisation,enchevetrement pierres-acerees
immunite_feu,2,immunite_ou_resistance_element,corps-enflamme manteau-marin
invocation_magique,2,invocation_ou_creation,convocation-d-instrument convocation-d-ombres-supreme
malus_caracteristique,2,malus_chiffre,fouet-d-ego-v rayon-affaiblissant
malédiction_permanente,2,duree_prolongee,tache-noire terre-maudite
marque_magique,2,hors_groupe:magique_marque,signature-magique tache-noire
même_type_requis,2,hors_groupe:meme_type,convocation-d-allies-naturels-iv convocation-d-allies-naturels-viii
necromancien,2,hors_groupe:necromancien,rayon-affaiblissant symbole-de-terreur
pas_attaque_opportunite,2,hors_groupe:attaque_opportunite_pas,avancee-offensive contrariete-des-geants
piège_magique,2,hors_groupe:magique_piege,croissance-d-epines pierres-acerees
portee_limitee,2,hors_groupe:limitee_portee,lumieres-dansantes son-imaginaire
protection_contre_la_divination,2,protection_defensive|divination_information|alignement_ou_divin,detection-de-la-scrutation dissimuler-la-magie
protection_temporaire,2,protection_defensive,armure-instantanee resistance
ralentissement_mouvement,2,entrave_ou_immobilisation|deplacement_ou_teleportation,contact-defigurant pierres-acerees
renversement_possible,2,hors_groupe:renversement,eternuement-de-feu vents-de-la-vengeance
reproduction_sort,2,hors_groupe:reproduction,miracle souhait
resistance_aux_degats,2,degats_directs,main-interposee resistance-aux-energies-destructives-partage
sort_inoffensif,2,metamagie_ou_sort_cible,guerison-de-destrier protection-contre-le-bien-partage
sort_necromancie,2,metamagie_ou_sort_cible,destruction empoisonnement
terrain_difficile,2,terrain_ou_environnement,enchevetrement tempete-de-cendres
test_niveau_lanceur,2,hors_groupe:lanceur_niveau_test,hurlement-primitif vision-mystique
vision_nocturne,2,divination_information|perception_amelioree,corps-elementaire-iv sens-surdeveloppes
zone_effet,2,zone_d_effet,motif-scintillant pierres-acerees
zone_large_affectee,2,zone_d_effet,localite-egaree terre-maudite
abjuration_chaos,1,alignement_ou_divin,protection-contre-la-loi
abjuration_defensive,1,protection_defensive,protection-contre-les-sorts
abjuration_mal,1,alignement_ou_divin,protection-contre-le-bien-partage
abjuration_mental,1,effet_mental,interdiction-du-fou
abri_contre_adversaire,1,protection_defensive,main-interposee
abri_contre_attaques,1,protection_defensive,mur-de-saumure
absorption_pouvoir_ennemi,1,hors_groupe:absorption_ennemi_pouvoir,coeur-de-l-ennemi
acces_instrument_portable,1,hors_groupe:acce_instrument_portable,convocation-d-instrument
acces_porte_mentale,1,effet_mental,creation-de-paysage-mental-supreme
accumulation_energie_elementaire,1,hors_groupe:accumulation_elementaire_energie,detonation
accès_pouvoir_mythique,1,hors_groupe:acce_mythique_pouvoir,ascension
acide_reactif,1,hors_groupe:acide_reactif,sang-caustique
action_concertee,1,hors_groupe:action_concertee,assaut-concerte
action_de_mouvement,1,deplacement_ou_teleportation,insectes-espions-supreme
action_immédiate_activation,1,hors_groupe:action_immediate,salut-du-sang
action_libre_changement,1,hors_groupe:action_changement_libre,changement-de-forme
action_rapide,1,hors_groupe:action_rapide,froide-frappe-de-glace
action_requise_pour_se_nettoyer,1,hors_groupe:action_nettoyer_se,embourbement
activation_magique_perturbee,1,hors_groupe:activation_magique_perturbee,bafouiller
activation_mot_commande,1,hors_groupe:activation_commande_mot,page-secrete
adaptation_morts_vivants,1,hors_groupe:adaptation_mort_vivant,purification
adaptation_terrain,1,terrain_ou_environnement,sages-murmures
adhesion_armes,1,arme_ou_munition,sang-adhesif
affaiblissement_charisme,1,affaiblissement_de_capacite,infestation-fongique
affaiblissement_dexterite,1,affaiblissement_de_capacite,dard-vengeur
affaiblissement_mental,1,effet_mental|affaiblissement_de_capacite,brume-mentale
affaiblissement_sagesse_charisme,1,affaiblissement_de_capacite,manteau-de-doutes
affecte_bâtiments_uniquement,1,hors_groupe:affecte_batiment_uniquement,resonance
affecte_groupe,1,plusieurs_cibles,hebetement-de-groupe
affecte_plusieurs_animaux,1,plusieurs_cibles,atavisme-de-groupe
affecte_équipement,1,objet_ou_equipement,metal-gele
aide_orientation,1,hors_groupe:aide_orientation,reperage
alteration_environnement_visuel,1,terrain_ou_environnement,cicatrice-magique
alteration_temporaire,1,hors_groupe:alteration_temporaire,alteration-d-instrument-de-musique
alteration_vents_naturels,1,hors_groupe:alteration_naturel_vent,modification-des-vents
amelioration_consommables,1,amelioration_de_capacite,amplification-d-elixir
amelioration_defense_magique,1,protection_defensive|amelioration_de_capacite,protection-contre-les-sorts
amelioration_interaction_sociale,1,amelioration_de_capacite,examen-approfondi
amelioration_magie_alliee,1,amelioration_de_capacite,thaumaturgie-associative
amelioration_nourriture,1,amelioration_de_capacite,ascese
amelioration_par_sacrifice_type,1,amelioration_de_capacite,armure-instantanee
amelioration_perception,1,amelioration_de_capacite|perception_amelioree,sens-surdeveloppes
amelioration_presence,1,amelioration_de_capacite,splendeur-de-l-aigle
amelioration_sensorielle,1,amelioration_de_capacite,sens-surdeveloppes
amnesia_temporaire_coercition,1,charme_ou_coercition,messager-verrouille
amplification_potions,1,amelioration_de_capacite,amplification-d-elixir
amplification_progressive,1,amelioration_de_capacite,insinuation-du-ca-iv
analyse_auras_persistantes,1,hors_groupe:analyse_aura_persistante,detection-de-la-magie-supreme
analyse_creature,1,hors_groupe:analyse_creature,examen-approfondi
ancrage_terrestre,1,hors_groupe:ancrage_terrestre,racine
animation_arbre,1,hors_groupe:animation_arbre,marteau-arboricole
animation_cadavre,1,hors_groupe:animation_arbre,creation-de-mort-vivant
animation_objet_controlée,1,objet_ou_equipement,possession-d-objet
animation_temporaire,1,hors_groupe:alteration_temporaire,sentinelle-de-sang
annulation_effet_negatif,1,hors_groupe:annulation_negatif,miracle
annulation_effets_magiques,1,hors_groupe:annulation_chaleur,disjonction
annulation_enchantement,1,hors_groupe:annulation_chaleur,purification
annulation_lien_vital,1,hors_groupe:annulation_lien_vital,vie-scellee
annulation_par_chaleur,1,hors_groupe:annulation_chaleur,metal-gele
annulation_par_immersion,1,hors_groupe:annulation_immersion,embourbement
annulation_temporaire_objets_magiques,1,objet_ou_equipement,dissipation-supreme
annule_malus_niveaux_negatifs,1,malus_chiffre,protection-contre-la-mort
apparence_illusoire,1,hors_groupe:apparence_illusoire,aspect-de-fee-hantee
apparence_mensonge,1,hors_groupe:apparence_mensonge,placage-trompeur
appel_esprit_defunt,1,effet_mental,appel-d-un-esprit
application_poison_contact,1,attaque_de_contact,empoisonnement
aptitudes_vegetales,1,hors_groupe:aptitude_vegetale,forme-vegetale-iii
arme_a_distance,1,arme_ou_munition,pierre-magique
arme_contre_bien,1,arme_ou_munition|alignement_ou_divin,malediction-de-l-eau
arme_enchantee,1,arme_ou_munition,chaine-cloutee-des-ombres
arme_impie,1,arme_ou_munition,epee-impie
arme_maniée_uniquement,1,arme_ou_munition,flammes-du-fidele
arme_temporaire,1,arme_ou_munition,chaine-cloutee-des-ombres
armure_naturelle,1,protection_defensive,corps-elementaire-iv
arret_du_vieillissement,1,hors_groupe:arret_vieillissement,animation-suspendue
arrivee_garantie_destination,1,hors_groupe:arrivee_destination_garantie,teleportation-supreme
arrivee_zone_securisee,1,zone_d_effet,teleportation-interplanetaire
arrêt_hémorragie_guérison,1,soin_ou_guerison,plaie-au-visage
artefacts_vulnerables,1,hors_groupe:artefact_vulnerable,disjonction
assistance_momentanee,1,hors_groupe:assistance_momentanee,assistance-divine
attaque_aerienne,1,hors_groupe:aerienne_attaque,vol-superieur
attaque_au_combat,1,hors_groupe:attaque_combat,avancee-offensive
attaque_multiple_simultanee,1,plusieurs_cibles,eruption-de-fleches
attaque_naturelle_griffe,1,hors_groupe:attaque_griffe_naturelle,fouet-de-l-astradaemon
attaque_opportunite_automatique,1,hors_groupe:attaque_automatique_opportunite,dard-vengeur
attaque_opportunite_declenchee,1,hors_groupe:attaque_declenchee_opportunite,paix-forcee
attaque_pseudopode_aqueux,1,hors_groupe:aqueux_attaque_pseudopode,manteau-marin
augmentation_charisme,1,amelioration_de_capacite,splendeur-de-l-aigle
augmentation_charisme_dependants,1,amelioration_de_capacite,splendeur-de-l-aigle
augmentation_dd_sorts,1,amelioration_de_capacite,splendeur-de-l-aigle
augmentation_degats_mains_nues,1,degats_directs|amelioration_de_capacite,corps-enflamme
augmentation_degats_morts_vivants,1,degats_directs|amelioration_de_capacite,pierre-magique
augmentation_distance_vision,1,amelioration_de_capacite|perception_amelioree,sens-surdeveloppes
augmentation_effets_numeriques,1,amelioration_de_capacite,amplification-d-elixir
augmentation_force_constitution,1,amelioration_de_capacite,forme-vegetale-iii
augmentation_points_vie,1,amelioration_de_capacite,atavisme-de-groupe
augmentation_potentiel_ombres,1,amelioration_de_capacite|illusion_visuelle_ou_sonore,convocation-d-ombres-supreme
augmentation_reduction_intensite,1,amelioration_de_capacite,modification-des-vents
augmentation_taille_vermine,1,amelioration_de_capacite,vermine-geante
augmentation_vitesse_charge,1,amelioration_de_capacite,briser-les-lignes-ennemies
augmente_nls_resistance_magie,1,resistance_a_la_magie,incantation-assuree
augmenter_penetration_armure,1,protection_defensive,coeur-du-metal
aura_de_panique,1,hors_groupe:aura_panique,symbole-de-terreur
aura_defensive,1,protection_defensive,aura-d-avidite
avantage_negociation_intimidation,1,hors_groupe:avantage_intimidation_negociation,examen-approfondi
avertissement_telepathique,1,communication_ou_langage,premonition
aveuglement_ennemis,1,hors_groupe:aveuglement_ennemi,corps-enflamme
aveuglement_temporaire,1,hors_groupe:aveuglement_ennemi,explosion-de-lumiere
barreaux_de_force,1,hors_groupe:barreaux_force,cage-de-force
barriere_multicolore,1,hors_groupe:barriere_multicolore,mur-prismatique
basee_sur_caracteristique_lancement,1,hors_groupe:basee_caracteristique_lancement,sabot-du-tonnerre
basee_sur_niveau_lanceur,1,hors_groupe:basee_lanceur_niveau,sabot-du-tonnerre
benefices_partages,1,hors_groupe:benefice_partage,aura-d-avidite
blessure_persistante,1,degats_directs,pierres-acerees
blocage_attaques_distance,1,hors_groupe:attaque_distance,mur-prismatique
blocage_gaz_et_liquides,1,hors_groupe:blocage_gaz_liquide,mur-de-saumure
blocage_lumiere_bruit_sorts,1,hors_groupe:blocage_bruit_lumiere,porte-de-phase
blocage_partage_vitalite,1,hors_groupe:blocage_partage_vitalite,vie-scellee
blocage_scrutation,1,hors_groupe:blocage_scrutation,esprit-impenetrable
blocage_vision_nocturne,1,divination_information|perception_amelioree,tempete-de-cendres
bonus_acrobaties,1,bonus_chiffre,racine
bonus_allie,1,bonus_chiffre,rendre-un-jugement-superieur
bonus_alteration,1,bonus_chiffre,splendeur-de-l-aigle
bonus_armure_naturelle,1,bonus_chiffre|protection_defensive,forme-vegetale-iii
bonus_armure_variable,1,bonus_chiffre|protection_defensive,armure-instantanee
bonus_attaque_temporaire,1,bonus_chiffre,appel-d-arme
bonus_ca_abri,1,bonus_chiffre|protection_defensive,manteau-marin
bonus_ca_et_reflexes,1,bonus_chiffre,premonition
bonus_ca_et_sauvegardes,1,bonus_chiffre|jet_de_sauvegarde,assaut-concerte
bonus_ca_plus_quatre,1,bonus_chiffre,main-interposee
bonus_caracteristiques,1,bonus_chiffre,souhait
bonus_caractéristiques_taille,1,bonus_chiffre,corps-elementaire-iv
bonus_competence_perception,1,bonus_chiffre|perception_amelioree,sens-surdeveloppes
bonus_competence_vol,1,bonus_chiffre|deplacement_ou_teleportation,vol-superieur
bonus_connaissances,1,bonus_chiffre|divination_information,sages-murmures
bonus_defense,1,bonus_chiffre|protection_defensive,atavisme-de-groupe
bonus_degats_temporaire,1,degats_directs|bonus_chiffre,appel-d-arme
bonus_dexterite,1,bonus_chiffre,corps-enflamme
bonus_diplomatie,1,bonus_chiffre,tranquillite-euphorique
bonus_discretion,1,bonus_chiffre,silence-respectueux
bonus_divin_progressif,1,bonus_chiffre|alignement_ou_divin,assaut-concerte
bonus_equilibre,1,bonus_chiffre,racine
bonus_force_malfaisance,1,bonus_chiffre,coeur-de-l-ennemi
bonus_intelligence_charisme,1,bonus_chiffre,avancee-offensive
bonus_intuition_situationnel,1,bonus_chiffre,sages-murmures
bonus_jet_attaque,1,bonus_chiffre,assistance-divine
bonus_jet_sauvegarde,1,bonus_chiffre|jet_de_sauvegarde,assistance-divine
bonus_jets_attaque,1,bonus_chiffre,atavisme-de-groupe
bonus_lanceur_sort,1,bonus_chiffre,cicatrice-magique
bonus_magiques_conserves,1,bonus_chiffre,eruption-de-fleches
bonus_negociation_creature,1,bonus_chiffre,sacrifice
bonus_parade_contre_loyaux,1,bonus_chiffre,protection-contre-la-loi
bonus_penetration_magique,1,bonus_chiffre,incantation-assuree
bonus_perception_psychologie,1,bonus_chiffre|perception_amelioree,examen-approfondi
bonus_reflexes,1,bonus_chiffre,reflexes-accrus
bonus_resistance_invocation,1,bonus_chiffre|invocation_ou_creation,sacrifice
bonus_sainteté_attaque,1,bonus_chiffre,dard-vengeur
bonus_sauvegarde,1,bonus_chiffre|jet_de_sauvegarde,manteau-de-colere
bonus_sauvegarde_adversaires,1,bonus_chiffre|jet_de_sauvegarde,manteau-de-calme
bonus_sauvegarde_feu,1,bonus_chiffre|jet_de_sauvegarde,zone-de-flammes-instables
bonus_sauvegarde_mental,1,bonus_chiffre|jet_de_sauvegarde|effet_mental,esprit-impenetrable
bonus_sauvegarde_mort,1,bonus_chiffre|jet_de_sauvegarde,protection-contre-la-mort
bonus_sort_inferieur_niveau,1,bonus_chiffre|terrain_ou_environnement|metamagie_ou_sort_cible,thaumaturgie-associative
bonus_temporaire_inversible,1,bonus_chiffre,heroisme-insipide-supreme
bonus_test_competence,1,bonus_chiffre,assistance-divine
boucle_temporelle_mentale,1,effet_mental,deja-vu
bousculade_creature,1,hors_groupe:bousculade_creature,rafale-du-belier
bousculade_renversement,1,hors_groupe:bousculade_renversement,briser-les-lignes-ennemies
brouillard_stationnaire,1,hors_groupe:brouillard_stationnaire,brume-mentale
brûlure_prolongée,1,hors_groupe:brulure_prolongee,sang-caustique
buff_unique,1,hors_groupe:buff_unique,assistance-divine
camouflage_cible,1,invisibilite_ou_dissimulation,plaie-au-visage
camouflage_enchantement,1,invisibilite_ou_dissimulation,dissimuler-la-magie
canalisation_mal,1,alignement_ou_divin,epee-impie
capacite_50kg_par_niveau,1,terrain_ou_environnement,disque-flottant
capacités_élémentaires_spécifiques,1,hors_groupe:capacite_elementaire_specifique,corps-elementaire-iv
carte_nautique_requise,1,hors_groupe:carte_nautique,pistage-d-un-navire
cecite_ennemis,1,hors_groupe:cecite_ennemi,mur-prismatique
cercle_protection_bien,1,protection_defensive|alignement_ou_divin,epee-impie
chancel_ou_confusion,1,confusion_ou_desorientation,interdiction-du-fou
changement_timbre,1,hors_groupe:action_changement_libre,alteration-d-instrument-de-musique
chaîne_cloutée_magique,1,hors_groupe:chaine_cloutee_magique,chaine-cloutee-des-ombres
choix_avant_jet,1,hors_groupe:avant_choix_jet,assistance-divine
choix_effet_confusion,1,confusion_ou_desorientation,insinuation-du-ca-iv
choix_effet_unique,1,hors_groupe:choix_unique,terre-maudite
choix_quantité_puissance,1,hors_groupe:choix_puissance_quantite,convocation-d-allies-naturels-iv
choix_voie_mythique,1,hors_groupe:choix_mythique_voie,ascension
chute_progressive_fin_sort,1,hors_groupe:chute_fin_progressive,vol-superieur
cible_distraite,1,hors_groupe:distraite,broussaille-distrayante
cible_faible_dv,1,hors_groupe:dv_faible,hebetement
coercition_emotionnelle,1,charme_ou_coercition,manteau-de-calme
coercition_mentale,1,effet_mental|charme_ou_coercition,mot-de-pouvoir-mortel
coercition_volonte,1,charme_ou_coercition,fouet-d-ego-v
coincement_dans_objet,1,objet_ou_equipement,grappin-opportun
combat_rapproche,1,hors_groupe:combat_rapproche,appel-d-arme
combat_temporaire,1,hors_groupe:temporaire,convocation-d-allies-naturels-iv
combat_vermine_alliee,1,hors_groupe:alliee_combat_vermine,vermine-geante
communication_avec_pierres,1,communication_ou_langage,pierres-commeres
communication_forcee_destinataire,1,communication_ou_langage,messager-verrouille
communication_outre_tombe,1,communication_ou_langage,appel-d-un-esprit
communication_protegee,1,communication_ou_langage,communication-securisee-supreme
communication_securisee_groupe,1,communication_ou_langage|plusieurs_cibles,communication-securisee-supreme
composante_materielle_chere,1,objet_ou_equipement,annihilation-de-mort-vivant
composante_materielle_variable,1,objet_ou_equipement,coeur-du-metal
comprendre_defenses_ennemies,1,protection_defensive,incantation-assuree
concentration_maintenue,1,hors_groupe:concentration,coeur-de-l-ennemi
conditions_acces_personnalisables,1,hors_groupe:acce_condition_personnalisable,porte-de-phase
conduit_connaissances,1,divination_information,rendre-un-jugement-superieur
confinement_spatial,1,hors_groupe:confinement_spatial,cage-de-force
confusion,1,confusion_ou_desorientation,motif-scintillant
confusion_mental,1,effet_mental|confusion_ou_desorientation,insinuation-du-ca-iv
confusion_mentale,1,effet_mental|confusion_ou_desorientation,tranquillite-euphorique
confusion_sensorielle,1,confusion_ou_desorientation,synesthesie-de-groupe
confusion_si_impossible,1,confusion_ou_desorientation,deja-vu
confusion_temporaire_allie_ennemi,1,confusion_ou_desorientation,allie-involontaire
consequence_perte_magie,1,hors_groupe:consequence_magie_perte,disjonction
consommable_maudit,1,hors_groupe:consommable_maudit,malediction-de-l-eau
consomption_du_corps,1,hors_groupe:consomption_corp,destruction
consultation_destin_eloigne,1,hors_groupe:consultation_destin_eloigne,pronostic-supreme
contact,1,attaque_de_contact,resistance
contact_a_distance,1,attaque_de_contact,rayon-de-givre
contact_au_corps_a_corps,1,attaque_de_contact,animation-suspendue
contact_avec_creatures_consentantes,1,attaque_de_contact,teleportation-supreme
contact_direct,1,attaque_de_contact,infestation-fongique
contact_physique_requis,1,attaque_de_contact,mot-de-rappel
contre_attaque_adjacent,1,hors_groupe:adjacent_attaque_contre,manteau-de-doutes
contre_attaque_au_contact,1,attaque_de_contact,dard-vengeur
contrer_sort_nefaste,1,metamagie_ou_sort_cible,souhait-limite
contrer_souhaits_informatifs,1,hors_groupe:contrer_informatif_souhait,esprit-impenetrable
contresort,1,dissipation_ou_contresort,dissipation-supreme
controle_actions_ennemies,1,hors_groupe:action_controle_ennemie,insinuation-du-ca-iv
controle_creature_invoquee,1,hors_groupe:controle_creature_invoquee,sacrifice
controle_daemon,1,hors_groupe:controle_distance,eveiller-les-devores
controle_effet_primordial,1,hors_groupe:controlable_portail,cicatrice-magique
controle_image_illusoire,1,illusion_visuelle_ou_sonore,hallucination-audiovisuelle
controle_lanceur,1,hors_groupe:controle_distance,marteau-arboricole
controle_perception_observateurs,1,perception_amelioree,ecran
controle_perception_verite,1,perception_amelioree,placage-trompeur
controle_permanent_du_corps,1,duree_prolongee,ame-parasite
controle_possible_creature,1,hors_groupe:analyse_creature,creation-de-mort-vivant
controle_projectile_magique,1,rayon_ou_projectile,orbe-du-neant
controle_vermine_geante,1,hors_groupe:controle_geante_vermine,vermine-geante
convocation_alliés_naturels,1,invocation_ou_creation,convocation-d-allies-naturels-viii
convocation_creatures_naturelles,1,invocation_ou_creation,convocation-d-allies-naturels-iv
convocation_insectes,1,invocation_ou_creation,insectes-espions-supreme
convocation_instrument,1,invocation_ou_creation,convocation-d-instrument
convocation_loyale_bloquee,1,invocation_ou_creation,protection-contre-la-loi
coordination_tactique,1,hors_groupe:coordination_tactique,assaut-concerte
corps_entierement_detruit,1,hors_groupe:corp_detruit_entierement,resurrection-supreme
corps_immobilisé,1,entrave_ou_immobilisation,possession-d-objet
corps_separe_de_lesprit,1,effet_mental,image-psychique
