# Table d'alias anglais -> francais, EDITEE A LA MAIN, ligne par ligne.
#
# Format : <id>\t<alias>    Une paire par ligne. Les lignes vides et les lignes
# commencant par # sont ignorees. Le fichier est en UTF-8, LF.
#
# POURQUOI A LA MAIN. Un alias faux est pire qu'un alias manquant : il envoie
# l'utilisateur sur le mauvais sort, avec confiance, et il n'a aucun moyen de
# s'en apercevoir. Cette table n'est donc PAS generee par un modele de langue.
# Chaque ligne est un nom anglais de la SRD Pathfinder 1e que l'on peut relier
# au nom francais du wiki sans supposition.
#
# CE QUI N'A PAS SA PLACE ICI :
#   - une traduction devinee depuis le francais ("Abri" -> "shelter" ?) ;
#   - un nom anglais dont on n'est pas sur qu'il designe CE sort ;
#   - un alias qui se plie sur un nom francais reel du corpus. Le constructeur
#     le refuse de toute facon (la priorite au nom francais est absolue), mais
#     il n'a rien a faire dans le fichier.
#
# UN ALIAS PEUT VISER PLUSIEURS SORTS. C'est un fait, pas un defaut : "magic
# missile" est sans ambiguite, mais "cure wounds" couvre les quatre paliers de
# soins et "light" couvre `lumiere` et `lumieres-dansantes`. Le contrat de
# sortie est un tableau d'ids, jamais une chaine, et l'etape 05 affiche les
# deux resultats plutot que d'en choisir un.
#
# La table est faite pour grossir a l'usage : ajouter une ligne, relancer
# `python -m pf_spells.build_alias`. Le rapport de couverture
# (`reports/04_alias.md`) est la liste de travail, triee par niveau croissant
# parce que les sorts de bas niveau sont ceux que l'on cherche le plus.

# --- Attaque et degats ---
projectile-magique	magic missile
boule-de-feu	fireball
boule-de-feu-a-retardement	delayed blast fireball
eclair	lightning bolt
eclair-multiple	chain lightning
mains-brulantes	burning hands
rayon-ardent	scorching ray
flammes	produce flame
aspersion-acide	acid splash
fleche-acide	melf's acid arrow
fleche-acide	acid arrow
cone-de-froid	cone of cold
tempete-de-neige	sleet storm
mur-de-feu	wall of fire
mur-de-glace	wall of ice
mur-de-force	wall of force
mur-de-pierre	wall of stone
mur-d-epines	wall of thorns
main-vagabonde	mage hand
doigt-de-mort	finger of death
desintegration	disintegrate
rayon-affaiblissant	ray of enfeeblement
contact-glacial	chill touch
decharge-electrique	shocking grasp
mot-de-pouvoir-etourdissant	power word stun
mot-de-pouvoir-aveuglant	power word blind
mot-de-pouvoir-mortel	power word kill
tempete-de-grele	ice storm
appel-de-la-foudre	call lightning
nuee-de-meteores	meteor swarm
souffle-de-vie	breath of life

# --- Soins et etats ---
soins-legers	cure light wounds
soins-moderes	cure moderate wounds
soins-importants	cure serious wounds
soins-intensifs	cure critical wounds
soins-legers-de-groupe	mass cure light wounds
soins-moderes-de-groupe	mass cure moderate wounds
soins-importants-de-groupe	mass cure serious wounds
soins-intensifs-de-groupe	mass cure critical wounds
guerison-supreme	heal
guerison-supreme	mass heal
rappel-a-la-vie	raise dead
resurrection-supreme	true resurrection
restauration	restoration
restauration-partielle	lesser restoration
restauration-supreme	greater restoration
stabilisation	stabilize
regeneration	regenerate
delivrance-des-maledictions	remove curse
delivrance-de-la-paralysie	remove paralysis
